,,,,,,,,,,,,,,,,,,
,LOCATION DETAILS:,,,,,,,,,,,,,,,,,
,OPS MANAGER: Sam (2897639495),,,,,,,,NORMAL RESTRICTED ARRIVAL WINDOW APPLICABLE:,,,,,,,,,
,SALES #: (226) 772-3555 - Dial 2 for Operations,,,,,,,,27TH-3RD,,,,,,,,,
,INTERSECTION: Hwy 8 and Fairway Rd S,,,,,,,,1 HOUR MINIMUMS (2-4PM) AFTER ANOTHER JOB = $179/HR MINIMUM ALWAYS,,,,,,,,,
,"ADDRESS: 110 Manitou Dr, Kitchener",,,,,,,,,,,,,,,,,
,E-TRANSFER: sales@letsgetmovinggroup.com,,,,,,,,,,,,,,,,,
,# OF TRUCKS: 3 - ONLY seats 3 men,,,,,,,,,,,,,,,,,
,TERMINAL ID: 9Zq3S4MgY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
WATERLOO,,,,,,,MAR,,OTTAWA,,,,,,,APR,,
,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,
,,,1,2,3,4,,,,,,,,,1,,,
,,,149,139,139,139,,,,,,,,,149,,,
5,6,7,8,9,10,11,,,2,3,4,5,6,7,8,,,
139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,,
12,13,14,15,16,17,18,,,9,10,11,12,13,14,15,,,
139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,,
19,20,21,22,23,24,25,,,16,17,18,19,20,21,22,,,
139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,,
26,27,28,29,30,31,,,,23,24,25,26,27,28,29,,,
139,139,139,139,139,149,,,,139,139,139,139,139,139,149,,,
,,,,,,,,,30,,,,,,,,,
,,,,,,,,,149,,,,,,,,,
,,,,,,,,,,,,,,,,,,
WATERLOO,,,,,,,MAY,,OTTAWA,,,,,,,JUN,,
,,,,,,,,,,,,,,,,,Franchisees standard price at $139 requested by Tiam. Juan,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,UPDATE JUNE 23: WATERLOO $129/H,
