65,,,,,,,,,,,,,,,,,,
,LOCATION DETAILS:,,,,,,,,,,,,,,,,,
,OPS MANAGER: ASHLEY (437-237-5739),,,,,,,,UPDATE ON RESTRICTED ARRIVAL WINDOWS:,,,,,,,,,
,SALES #: (905) 412-2444 - Dial 2 for Operations,,,,,,,,27TH TO THE 3RD,,,,,,,,,
,INTERSECTION: QEW and Welland Canals Pkwy,,,,,,,,,,,,,,,,,
,"ADDRESS: 317, 39 Queen St 3rd Floor, St. Catharines, ON L2R 5G3",,,,,,,,THIS LOCATION IS NOW CORPORATE FOR TIAM RIGHT ,,,,,,,,,
,E-TRANSFER: sales@letsgetmovinggroup.com,,,,,,,,NOW WE CAN SUPPORT 2 TRUCKS AND 6 MOVERS,,,,,,,,,
,# OF TRUCKS: 2 - ONLY seats 3 men,,,,,,,,WE ARE CURRENTLY DISPATCHING FROM HAMILTON UNTIL ,,,,,,,,,
,Terminal ID:  3xJFZNd2L5c         ,,,,,,,,THIS IS RESOLVED BUT USE THE ST CATHERINES BRANCH,,,,,,,,,
,,,,,,,,,,,,,,,,,,
YORK,,,,,,,MAR,,YORK,,,,,,,APR,,
,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,
,,,1,2,3,4,,,,,,,,,1,,,
,,,149,139,139,139,,,,,,,,,169,,,
5,6,7,8,9,10,11,,,2,3,4,5,6,7,8,,,
139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,,
12,13,14,15,16,17,18,,,9,10,11,12,13,14,15,,,
139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,,
19,20,21,22,23,24,25,,,16,17,18,19,20,21,22,,,
139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,,
26,27,28,29,30,31,,,,23,24,25,26,27,28,29,,,
139,139,189,149,139,149,,,,139,139,139,139,139,139,139,,,
,,,,,,,,,30,,,,,,,,,
,,,,,,,,,169,,,,,,,,,
,,,,,,,,,,,,,,,,,,
YORK,,,,,,,MAY,,YORK,,,,,,,JUN,,
,,,,,,,,,,,,,,,,,,Franchisees standard price at $139 requested by Tiam. Juan
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,
,1,2,3,4,5,6,,,,,,,1,2,3,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
28,29,30,31,,,,,,25,26,27,28,29,30,,,,
,,,,,,,,,,,,,139,149,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ST CATHERINES,,,,,,,JUL,,ST CATHERINES,,,,,,,AUG,,
,,,,,,,,,,,,,,,,,,ONLY 3 MEN CREW TRUCKS AVAILABLE FOR LONG DISTANCE! OFFER 4TH GUY FOR A LOCAL MOVE ONLY! FOR LONG DISTANCE YOU CAN OFFER 4TH GUY TO HELP LOADING LOCALLY. OFFLOAD MUST BE 3 SINCE ONLY 3 CAN SIT IN THE TRUCK. 
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,
,,,,,,1,,,,,1,2,3,4,5,,,
,,,,,,149,,,,,149,129,129,129,139,,,STANDARD PRICE: $129 - MIN $119 on regular days
2,3,4,5,6,7,8,,,6,7,8,9,10,11,12,,,
139,139,139,139,139,139,149,,,129,129,129,129,129,129,139,,,
9,10,11,12,13,14,15,,,13,14,15,16,17,18,19,,,
139,139,139,139,139,139,149,,,129,129,129,129,129,129,139,,,
16,17,18,19,20,21,22,,,20,21,22,23,24,25,26,,,
139,139,139,129,129,129,139,,,129,129,129,129,129,129,139,,,
23,24,25,26,27,28,29,,,27,28,29,30,31,,,,,
129,129,129,129,129,129,139,,,129,129,129,139,139,,,,,
30,31,,,,,,,,,,,,,,,,,
139,139,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ST CATHERINES,,,,,,,SEP,,ST CATHERINES,,,,,,,OCT,,
,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,
,,,,,1,2,,,1,2,3,4,5,6,7,,,
,,,,,139,139,,,139,129,129,129,129,129,129,,,
3,4,5,6,7,8,9,,,8,9,10,11,12,13,14,,,
129,129,129,129,129,129,139,,,129,129,129,129,129,129,129,,,
