,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPS MANAGER: NICK (437-983-2384),,,,,,,,,UPDATE ON RESTRICTED ARRIVAL WINDOWS:,,,,,,,,,,,,,,,,,,
SALES #: (416) 955-0079 - Dial 2 for Operations,,,,,,,,,27TH TO THE 3RD,,,,,,,,,,,,,,,,,,
INTERSECTION: Hwy 400 and 401,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ADDRESS: 945 Wilson Ave, North York",,,,,,,,,,,,,,,,,,,,,,,,,,,
E-TRANSFER: sales@letsgetmovinggroup.com,,,,,,,,,,base dropped to 149 - oct 20,,,,,,,,,,,,,,,,,
# OF TRUCKS: 7+  (2 trucks fit more than 3 men (but no lift gate)),,,,,,,,,,base price dropped to 139 nov 9,,,,,,,,,,,,,,,,,
Terminal ID: 29y5QUbS,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,,1,2,3,4,,,,,,,,,1,,,,,,,1,2,3,4,,
,,,159,159,159,139,,,,,,,,,239/169,,,,March 30th: NEW STANDARD PRICING $149 to $159,,,159,159,159,139,,
5,6,7,8,9,10,11,,,2,3,4,5,6,7,8,,,,5,6,7,8,9,10,11,,
139,139,139,139,139,139,199,,,159,159,159,159,159,159,169,,,,139,139,139,139,139,139,199,,
12,13,14,15,16,17,18,,,9,10,11,12,13,14,15,,,,12,13,14,15,16,17,18,,
139,139,139,139,139,139,169,,,159,139,139,139,139,139,189,,,,139,139,139,139,139,139,169,,
19,20,21,22,23,24,25,,,16,17,18,19,20,21,22,,,,19,20,21,22,23,24,25,,
149,149,149,149,139,159,159,,,159,139,139,139,139,159,229/189,,,,149,149,149,149,139,159,159,,
26,27,28,29,30,31,,,,23,24,25,26,27,28,29,,,,26,27,28,29,30,31,,,
149,159,139,149,219/169,239/199,,,,149,149,169,159,199/179,249/209,209,,,,149,159,139,149,,,,,
,,,,,  ,,,,30,,,,,,,,,,,,,,,,,,
,,,,,,,,,209/189,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO - MAY,,,,,,,MAY,,TORONTO - JUNE,,,,,,,JUN,,,,,,,,,,,JUN
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,1,2,3,4,5,6,,,,,,,1,2,3,,,,,,,,1,2,3,,
