,,,,,,,,,,,,,,,,,,
,LOCATION DETAILS:,,,,,,,,,,,,,,,,,
,"OPS MANAGER:HARSH
647-891-4106",,,,,,,,UPDATE ON RESTRICTED ARRIVAL WINDOWS:,,,,,,,,,
,INTERSECTION: Wayne Gretzky Pkwy and Colbourne St E,,,,,,,,27TH TO THE 3RD,,,,,,,,,
,"ADDRESS: 783 Colborne Street, Brantford",,,,,,,,,,,,,,,,,
,E-TRANSFER: sales@letsgetmovinggroup.com,,,,,,,,,,,,,,,,,
,# OF TRUCKS: 1+,,,,,,,,,,,,,,,,,
,Terminal ID; 22GmyBrS4N6,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
YORK,,,,,,,MAR,,YORK,,,,,,,APR,,
,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,
,,,1,2,3,4,,,,,,,,,1,,,
,,,149,139,139,139,,,,,,,,,169,,,
5,6,7,8,9,10,11,,,2,3,4,5,6,7,8,,,
139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,,
12,13,14,15,16,17,18,,,9,10,11,12,13,14,15,,,
139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,,
19,20,21,22,23,24,25,,,16,17,18,19,20,21,22,,,
139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,,
26,27,28,29,30,31,,,,23,24,25,26,27,28,29,,,
139,139,189,149,139,149,,,,139,139,139,139,139,139,139,,,
,,,,,,,,,30,,,,,,,,,
,,,,,,,,,169,,,,,,,,,
,,,,,,,,,,,,,,,,,,
YORK,,,,,,,MAY,,YORK,,,,,,,JUN,,
,,,,,,,,,,,,,,,,,,Franchisees standard price at $139 requested by Tiam. Juan
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,
,1,2,3,4,5,6,,,,,,,1,2,3,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
28,29,30,31,,,,,,25,26,27,28,29,30,,,,
,,,,,,,,,,,,,139,149,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
BRANTFORD,,,,,,,JUL,,BRANTFORD,,,,,,,AUG,,
,,,,,,,,,,,,,,,,,,ONLY 3 MEN CREW TRUCKS AVAILABLE FOR LONG DISTANCE! OFFER 4TH GUY FOR A LOCAL MOVE ONLY! FOR LONG DISTANCE YOU CAN OFFER 4TH GUY TO HELP LOADING LOCALLY. OFFLOAD MUST BE 3 SINCE ONLY 3 CAN SIT IN THE TRUCK. 
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,
,,,,,,1,,,,,1,2,3,4,5,,,
,,,,,,149,,,,,149,129,129,129,139,,,STANDARD PRICE: $129 - MIN $119 on regular days
2,3,4,5,6,7,8,,,6,7,8,9,10,11,12,,,
139,139,139,139,139,139,149,,,129,129,129,129,129,129,139,,,
9,10,11,12,13,14,15,,,13,14,15,16,17,18,19,,,
139,139,139,139,139,139,149,,,129,129,129,129,129,129,139,,,
16,17,18,19,20,21,22,,,20,21,22,23,24,25,26,,,
139,139,139,129,129,129,139,,,129,129,129,129,129,129,139,,,
23,24,25,26,27,28,29,,,27,28,29,30,31,,,,,
129,129,129,129,129,129,139,,,129,129,129,139,139,,,,,
30,31,,,,,,,,,,,,,,,,,
139,139,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
BRANTFORD,,,,,,,SEP,,BRANTFORD,,,,,,,OCT,,
,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,
