,,,,,,,,,,,,,,,,,
,LOCATION DETAILS:,,,,,,,,,,,,,,,,Terminal ID: 65Pt9eTUA
,OPS MANAGER:   ASHEDEEP,,,,,,,,UPDATE ON RESTRICTED ARRIVAL WINDOWS:,,,,,,,,
,INTERSECTION: Guelph Line and Fairview St,,,,,,,,27TH - 3RD ,,,,,,,,
,"ADDRESS: 750 Guelph Line, Burlington, Ontario L7R 3N5, Canada",,,,,,,,1 HOUR MINIMUMS (2-4PM) AFTER ANOTHER JOB ,,,,,,,,
,E-TRANSFER: sales@letsgetmovinggroup.com,,,,,,,,,,,,,,,,
,# OF TRUCKS: R+,,,,,,,,,,,,,,,,
,Terminal ID: 25PM4rJhBPX      ,,,,,,,,"DO NOT CALL THE OPS MANAGER, ONLY TEXTS ",,,,,,,,
,,,,,,,,,,,,,,,,,
Oakville,,,,,,,MAR,,Oakville,,,,,,,APR,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,,1,2,3,4,,,,,,,,,1,,
,,,149,139,139,139,,,,,,,,,169,,
5,6,7,8,9,10,11,,,2,3,4,5,6,7,8,,
139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,
12,13,14,15,16,17,18,,,9,10,11,12,13,14,15,,
139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,
19,20,21,22,23,24,25,,,16,17,18,19,20,21,22,,
139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,
26,27,28,29,30,31,,,,23,24,25,26,27,28,29,,
139,139,189,149,139,149,,,,139,139,139,139,139,139,139,,
,,,,,,,,,30,,,,,,,,
,,,,,,,,,169,,,,,,,,
,,,,,,,,,,,,,,,,,
Oakville,,,,,,,MAY,,Oakville,,,,,,,JUN,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,1,2,3,4,5,6,,,,,,,,,,,CALENDAR CREATED JUNE 26TH AT 3PM
,,,,,,,,,,,,,,,,,
