!@WQASXZ,,,,,,,,,,,,,,,,,,
,LOCATION DETAILS:,,,,,,,,,,,,,,,,,
,OPS MANAGER: PARSA (506-461-2035),,,,,,,,,,,,,,,,,
,SALES #: (905) 538-9909 - Dial 2 for Operations,,,,,,,,,,,,,,,,,
,INTERSECTION: Hwy 404 and Wellington St,,,,,,,,"THIS LOCATION SHARES 3 TRUCKS BETWEEN MARHAM, BARRIE, AND AURORA ",,,,,,,,,
,"ADDRESS: 24 Industry St, Aurora",,,,,,,,DOWN ONE TRUCKS BETWEEN AURORA/BARRIES AND MARKHAM SO ONLY 2 TRUCKS BETWEEN ALL. 3 FOR NOW ,,,,,,,,,
,E-TRANSFER: sales@letsgetmovinggroup.com,,,,,,,,,,,,,,,,,
,# OF TRUCKS: 1 - ONLY seats 3 men,,,,,,,,,,,,,,,,,
,Terminal ID: 2jMB9fwV2ZU,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
YORK,,,,,,,MAR,,YORK,,,,,,,APR,,- Markham: 18-30
,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,
,,,1,2,3,4,,,,,,,,,1,,,
,,,149,139,139,139,,,,,,,,,169,,,
5,6,7,8,9,10,11,,,2,3,4,5,6,7,8,,,
139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,,
12,13,14,15,16,17,18,,,9,10,11,12,13,14,15,,,
139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,,
19,20,21,22,23,24,25,,,16,17,18,19,20,21,22,,,
139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,,
26,27,28,29,30,31,,,,23,24,25,26,27,28,29,,,
139,139,189,149,139,149,,,,139,139,139,139,139,139,139,,,
,,,,,,,,,30,,,,,,,,,
,,,,,,,,,169,,,,,,,,,
,,,,,,,,,,,,,,,,,,
YORK,,,,,,,MAY,,YORK,,,,,,,JUN,,Franchisees standard price at $139 requested by Tiam. Juan
,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,
,1,2,3,4,5,6,,,,,,,1,2,3,,,
,169,139,139,139,139,139,,,,,,,169,149,149,,,
7,8,9,10,11,12,13,,,4,5,6,7,8,9,10,,,
139,139,139,139,139,139,149,,,149,139,139,139,139,139,149,,,
14,15,16,17,18,19,20,,,11,12,13,14,15,16,17,,,
139,149,139,139,139,139,149,,,139,139,149,139,139,149,149,,,
21,22,23,24,25,26,27,,,18,19,20,21,22,23,24,,,
139,149,139,139,139,139,159,,,139,139,139,139,139,139,169,,,
28,29,30,31,,,,,,25,26,27,28,29,30,,,,
139,139,139,169,,,,,,149,149,139,149,149,169,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
AURORA,,,,,,,JUL,,AURORA,,,,,,,AUG,,
,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,ONLY 3 MEN CREW TRUCKS AVAILABLE FOR LONG DISTANCE! OFFER 4TH GUY FOR A LOCAL MOVE ONLY! FOR LONG DISTANCE YOU CAN OFFER 4TH GUY TO HELP LOADING LOCALLY. OFFLOAD MUST BE 3 SINCE ONLY 3 CAN SIT IN THE TRUCK. 
,,,,,,1,,,,,1,2,3,4,5,,,
,,,,,,169,,,,,169,139,139,139,149,,,
2,3,4,5,6,7,8,,,6,7,8,9,10,11,12,,,
139,139,139,139,139,139,149,,,139,139,139,139,139,139,149,,,
9,10,11,12,13,14,15,,,13,14,15,16,17,18,19,,,
139,139,139,139,149,139,149,,,139,139,139,139,139,139,149,,,
16,17,18,19,20,21,22,,,20,21,22,23,24,25,26,,,
139,139,139,139,139,139,149,,,139,139,139,139,139,139,149,,,
23,24,25,26,27,28,29,,,27,28,29,30,31,,,,,
139,139,139,139,139,139,169,,,139,139,139,149,169,,,,,
30,31,,,,,,,,,,,,,,,,,
149,169,,,,,,,,,,,,,,,,,- Barrie: 18-27
,,,,,,,,,,,,,,,,,,- Markham: 18-30
AURORA,,,,,,,SEP,,AURORA,,,,,,,OCT,,
,,,,,,,,,,,,,,,,,,
