1 HR MIN STARTING AT 179/HR ,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCATION DETAILS: SAINT JOHN,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPS MANAGER: Camelia Mehrabani        ,,,,,,,,,UPDATE ON RESTRICTED ARRIVAL WINDOWS:,,,,,,,,,,,,,,,,,,
SALES #: 647 260 9697        ,,,,,,,,,27TH TO THE 3RD,,,,,,,,,,,,,,,,,,
INTERSECTION: Highway 1 and Rothessay Ave        ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ADDRESS: 696 ROTHESATY AVE, NB, E2H 2H5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
E-TRANSFER: sales@letsgetmovinggroup.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
# OF TRUCKS: 1 TRUCK :SEATS 3 MOVERS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terminal ID: 5pUgw4eTY4W,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,,1,2,3,4,,,,,,,,,1,,,,,,,1,2,3,4,,
,,,149,149,149,139,,,,,,,,,239/169,,,,March 30th: NEW STANDARD PRICING $149 to $149,,,149,149,149,139,,
5,6,7,8,9,10,11,,,2,3,4,5,6,7,8,,,,5,6,7,8,9,10,11,,
139,139,139,139,139,139,199,,,149,149,149,149,149,149,169,,,,139,139,139,139,139,139,199,,
12,13,14,15,16,17,18,,,9,10,11,12,13,14,15,,,,12,13,14,15,16,17,18,,
139,139,139,139,139,139,169,,,149,139,139,139,139,139,169,,,,139,139,139,139,139,139,169,,
